,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Time,Species 
0,25-Jun-2018,2018,Uncertain,USA,California,"Oceanside, San Diego County",PADDLING,F,57,N,18h00,WHITE SHARK
1,18-Jun-2018,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",STANDING,F,11,N,14h00  -15h00,Unknown
2,09-Jun-2018,2018,Uncertain,USA,Hawaii,"Habush, Oahu",SURFING/WATERSPORTS,M,48,N,07h45,Unknown
3,08-Jun-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
4,04-Jun-2018,2018,Provoked,MEXICO,Colima,La Ticla,SWIMMING/DIVING,M,Unknown,N,Unknown,TIGER SHARK
5,03-Jun-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
6,03-Jun-2018,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",SWIMMING/DIVING,M,18,Y,Late afternoon,TIGER SHARK
7,27-May-2018,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",FISHING,M,52,N,Unknown,LEMON SHARK
8,26-May-2018,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",WALKING,M,15,N,17h00,BULL SHARK
9,26-May-2018,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",STANDING,M,12,N,14h00,Unknown
10,24-May-2018,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,FEEDING SHARKS,M,32,N,Morning,REEF SHARK
11,21-May-2018,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",SURFING/WATERSPORTS,M,10,N,Unknown,Unknown
12,13-May-2018,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",SWIMMING/DIVING,M,10,N,15h00,Unknown
13,13-May-2018,2018,Uncertain,ENGLAND,Cornwall,Off Land's End,FISHING,M,21,N,08h15,Unknown
14,May 2018,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,FEEDING SHARKS,F,34,N,Unknown,NURSE SHARK
15,12-May-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",SURFING/WATERSPORTS,M,Unknown,N,11h00,Unknown
16,09-May-2018,2018,Uncertain,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",SURFING/WATERSPORTS,M,Unknown,N,10h30,Unknown
17,Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
18,28-Apr-2018,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,SWIMMING/DIVING,M,30,N,10h40,TIGER SHARK
19,28-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,SURFING/WATERSPORTS,M,Unknown,N,16h50,Unknown
20,25-Apr-2018,2018,Uncertain,AUSTRALIA,New South Wales,Lennox Head,SURFING/WATERSPORTS,M,Unknown,N,07h00,Unknown
21,25-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",SURFING/WATERSPORTS,M,60,N,09h30,Unknown
22,24-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",SURFING/WATERSPORTS,M,Unknown,N,Afternoon,WHITE SHARK
23,23-Apr-2018,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,FISHING,M,32,N,21h50,TIGER SHARK
24,22-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",PADDLE-SKIING,M,33,N,09h40,WHITE SHARK
25,19-Apr-2018,2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",SURFING/WATERSPORTS,M,29,N,Unknown,Unknown
26,15-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,SWIMMING/DIVING,M,54,N,Unknown,BULL SHARK
27,15-Apr-2018,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,SWIMMING/DIVING,M,34,Unknown,Unknown,Unknown
28,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",SURFING/WATERSPORTS,M,41,N,Unknown,Unknown
29,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",SURFING/WATERSPORTS,M,37,N,08h00,Unknown
30,14-Apr-2018,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,SURFING/WATERSPORTS,M,Unknown,N,09h30,TIGER SHARK
31,Reported 10-Apr-2018,2018,Uncertain,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",FISHING,M,56,N,Unknown,Unknown
32,09-Apr-2018,2018,Unprovoked,NEW CALEDONIA,Unknown,"Magenta Beach, Noumea",SURFING/WATERSPORTS,Unknown,Unknown,N,17h00,Unknown
33,05-Apr-2018,2018,Unprovoked,BAHAMAS,Unknown,Bimini,SWIMMING/DIVING,M,12,N,18h00,BULL SHARK
34,03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,SURFING/WATERSPORTS,M,19,N,15h00,WHITE SHARK
35,31-Mar-2018,2018,Unprovoked,USA,Hawaii,Kukio Beach,SURFING/WATERSPORTS,M,25,N,09h30,TIGER SHARK
36,14-Mar-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,SWIMMING/DIVING,M,10,N,17h35,WOBBEGONG SHARK
37,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,SWIMMING/DIVING,M,69,N,15h30,Unknown
38,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,SURFING/WATERSPORTS,M,18,N,07h30,Unknown
39,24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,SWIMMING/DIVING,M,38,N,Unknown,BLACKTIP SHARK
40,23-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",SWIMMING/DIVING,F,55,N,"19h00, Dusk",WHITE SHARK
41,18-Feb-2018,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,FISHING,M,34,N,Night,Unknown
42,15-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",WALKING,M,35,N,16h00,BULL SHARK
43,14-Feb-2018,2018,Uncertain,AUSTRALIA,Queensland,Mooloolaba Beach,SWIMMING/DIVING,F,Unknown,N,18h00,Unknown
